  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.000    0.000    0.275    0.004 __init__.py:663(get_tables)
        1    0.001    0.001    0.275    0.275 install.py:155(add_issue_types)
     1376    0.003    0.000    0.274    0.000 meta.py:262(get_custom_fields)
     1038    0.003    0.000    0.273    0.000 doctype.py:1150(clear_linked_doctype_cache)
     1376    0.017    0.000    0.270    0.000 meta.py:263(<listcomp>)
             1    0.001    0.001    0.269    0.269 language.py:33(sync_languages)
   136020    0.101    0.000    0.269    0.000 random.py:256(choice)
    57810    0.096    0.000    0.261    0.000 connection.py:959(get_connection)
    62064    0.043    0.000    0.261    0.000 _strptime.py:26(_getlang)
        6    0.000    0.000    0.259    0.043 __init__.py:5(<module>)
   115620    0.117    0.000    0.258    0.000 connection.py:949(_checkpid)
  1522448    0.257    0.000    0.257    0.000 doctype.py:709(<lambda>)
     1278    0.006    0.000    0.257    0.000 meta.py:48(get_table_columns)
314028/214120    0.156    0.000    0.255    0.000 encoder.py:333(_iterencode_dict)
        5    0.000    0.000    0.247    0.049 user.py:178(share_with_self)
        5    0.000    0.000    0.247    0.049 share.py:12(add)
   400298    0.208    0.000    0.246    0.000 protocol.py:264(get_column_length)
     1261    0.009    0.000    0.245    0.000 db_query.py:300(set_optional_columns)
   147365    0.242    0.000    0.242    0.000 {method 'format' of 'str' objects}
   214365    0.120    0.000    0.241    0.000 _compat.py:159(b)
      211    0.000    0.000    0.240    0.001 meta.py:107(as_dict)
 3329/211    0.153    0.000    0.240    0.001 meta.py:108(serialize)
        3    0.000    0.000    0.238    0.079 workbook.py:1(<module>)
  2357222    0.236    0.000    0.236    0.000 {built-in method _operator.eq}
      446    0.003    0.000    0.235    0.001 cache_manager.py:58(clear_defaults_cache)
   156537    0.160    0.000    0.235    0.000 connection.py:105(encode)
